"State","County","City","latitude","longitude","organization_name","Website","service_category","Notes","prison_rate","prison_population","population","total_prison_releases_2016","total_jail_releases_2013","state_unemployment_rate","state_unemployment_rank"
"Virginia","","",38.96,-77.61,"Commonwealth Institute","https://thecommonwealthinstitute.org/","","",0.42,36091,8603985,12453,286630,4,15
"West Virginia","","",37.3,-81.1,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.38,6800,1767859,3431,46210,4.8,25
"Wisconsin","","",43.6,-88.1,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.38,22039,5852490,9137,195505,3.9,14
"Alabama","Montgomery County","",32.3,-85.97,"E Pluribus Unum","https://hopecu.org/about/mission/","","23 locations in the Deep South",0.42,20595,4934193,13993,220241,3.1,7
"Arizona","Maricopa County","",33.9,-112,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.54,40951,7520103,18830,199666,6.2,39
"Arkansas","Pulaski County","",34.9,-92.1,"E Pluribus Unum","https://hopecu.org/about/mission/","","23 locations in the Deep South",0.58,17713,3033946,28900,189343,4.2,19
"Arkansas","Washington County","",36,-94.1,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.58,17713,3033946,28900,189343,4.2,19
"California","Alameda County","",37.77,-122.28,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Contra Costa County","",37.88,-121.59,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Fresno County","",36.2,-120.3,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Los Angeles County","",33.97,-118.25,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Merced County","",37.1,-120.7,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Nevada County","",39.2,-120.9,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Sacramento County","",38.62,-121.33,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.31,122417,39613493,36014,918135,7.5,50
"California","San Bernardino County","",34.15,-117.59,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","San Joaquin County","",38.2,-121.2,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Santa Barbara County","",34,-119.3,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Santa Clara County","",37.36,-122.15,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.31,122417,39613493,36014,918135,7.5,50
"California","Santa Cruz County","",37.09,-122.09,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Sierra County","",39.5,-120.7,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Solano County","",38.12,-122.13,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Stanislaus County","",37.56,-120.96,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Ventura County","",34.1,-118.9,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"California","Yolo County","",38.59,-121.54,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,122417,39613493,36014,918135,7.5,50
"Colorado","El Paso County","",39.1,-104.5,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.34,19785,5893634,9045,185884,5.9,35
"Florida","Miami-Dade County","",25.48,-80.51,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.44,96009,21944577,31805,650860,5,29
"Florida","Palm Beach County","",26.72,-80.07,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.44,96009,21944577,31805,650860,5,29
"Illinois","Lake County","",42.5,-88.1,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.3,38259,12569321,26165,289171,7,44
"Iowa","Polk County","",41.81,-93.61,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.29,9260,3167974,5556,119009,4.1,17
"Kansas","Saline County","",38.9,-97.6,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.34,9965,2917224,6462,141504,3.8,12
"Louisiana","Lafayette Parish","",30.12,-91.92,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.68,31584,4627002,16505,283558,6.2,39
"Massachusetts","Berkshire County","",42.2,-73.09,"EforAll","https://eforall.org/about/ ","","(DRK Economic Mobility grantee)
Economic Mobility EforAll believes that the best way to revitalize mid-sized U.S. cities that have fallen into decline, and thus suffered related high rates of poverty and unemployment, is to fuel the dreams and ambitions of entrepreneurs who live in and near these cities.",0.11,7503,6912239,2815,NA,5,29
"Michigan","Ingham County","",42.55,-84.28,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.38,38053,9992427,11280,294992,4.7,24
"Michigan","Muskegon County","",43.27,-85.85,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.38,38053,9992427,11280,294992,4.7,24
"Nebraska","Lancaster County","",40.7,-96.5,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.29,5596,1951996,2254,70762,2.2,1
"Nebraska","Sarpy County","",41.14,-95.89,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.29,5596,1951996,2254,70762,2.2,1
"Nevada","Clark County","",35.99,-114.95,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.4,12840,3185786,5683,146326,7.7,51
"New York","Albany County","",42.46,-73.93,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.23,43439,19299981,21940,190660,7.4,49
"New York","Monroe County","",43.2,-77.9,"Center for Employment Opportunities","https://www.unumfund.org/","","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.23,43439,19299981,21940,190660,7.4,49
"New York","Orange County","",41.24,-74.13,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.23,43439,19299981,21940,190660,7.4,49
"North Carolina","Mecklenburg County","",35.47,-80.89,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.31,33042,10701022,20276,416593,4.3,21
"Oregon","Multnomah County","",45.5,-122.1,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.35,14943,4289439,5188,170379,4.9,26
"Pennsylvania","Luzerne County","",40.95,-75.95,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.36,45485,12804123,25170,193275,6.4,41
"South Carolina","Richland County","",34.2,-81,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.35,18295,5277830,8951,323805,4.2,19
"Tennessee","Hamblen County","",36.2,-83.3,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.38,26349,6944260,14532,394846,4.6,23
"Tennessee","Shelby County","",35.3,-89.7,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.38,26349,6944260,14532,394846,4.6,23
"Texas","Collin County","",33.08,-96.61,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.52,154479,29730311,77579,1048880,5.9,35
"Texas","Dallas County","",32.96,-96.84,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.52,154479,29730311,77579,1048880,5.9,35
"Texas","El Paso County","",31.97,-106.6,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.52,154479,29730311,77579,1048880,5.9,35
"Washington","King County","",47.31,-122.27,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.25,19184,7796941,8212,271094,5.1,31
"Washington","Skagit County","",48.5,-122.6,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.25,19184,7796941,8212,271094,5.1,31
"Washington","Spokane County","",47.64,-117.58,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.25,19184,7796941,8212,271094,5.1,31
"Washington","Thurston County","",47,-122.9,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.25,19184,7796941,8212,271094,5.1,31
"Alabama","Shelby County","Birmingham",33.4,-86.7,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.42,20595,4934193,13993,220241,3.1,7
"Alabama","Talladega County","Talladega",33.4,-86.1,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.42,20595,4934193,13993,220241,3.1,7
"Arkansas","Pulaski County","Little Rock",34.75,-92.28,"E Pluribus Unum","https://hopecu.org/about/mission/","","23 locations in the Deep South",0.58,17713,3033946,28900,189343,4.2,19
"Arkansas","Crittenden County","West Memphis",35.1,-90.2,"E Pluribus Unum","https://hopecu.org/about/mission/","","23 locations in the Deep South",0.58,17713,3033946,28900,189343,4.2,19
"California","Fresno County","Fresno",36.84,-119.8,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.31,122417,39613493,36014,918135,7.5,50
"California","Los Angeles County","Los Angeles",33.97,-118.25,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.31,122417,39613493,36014,918135,7.5,50
"California","Los Angeles County","Los Angeles",33.97,-118.25,"Partners for Justice","https://www.partnersforjustice.org/","","We envision a world where the legal system reflects the humanity, complexity, and potential of those who experience it and its outcomes ensure the opportunity to move forward with one's future intact.",0.31,122417,39613493,36014,918135,7.5,50
"California","Alameda County","Oakland",37.77,-122.22,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.31,122417,39613493,36014,918135,7.5,50
"California","Alameda County","Oakland",37.77,-122.22,"Partners for Justice","https://www.partnersforjustice.org/","","We envision a world where the legal system reflects the humanity, complexity, and potential of those who experience it and its outcomes ensure the opportunity to move forward with one's future intact.",0.31,122417,39613493,36014,918135,7.5,50
"California","Riverside County","Riverside",33.99,-117.37,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.31,122417,39613493,36014,918135,7.5,50
"California","San Bernardino County","San Bernardino",34.1,-117.29,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.31,122417,39613493,36014,918135,7.5,50
"California","San Diego County","San Diego",32.72,-117.18,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.31,122417,39613493,36014,918135,7.5,50
"California","San Mateo County","San Francisco",37.62,-122.38,"The Last Mile","https://thelastmile.org/","Employment","We believe that jobs are the key to breaking the cycle of incarceration.",0.31,122417,39613493,36014,918135,7.5,50
"California","Yolo County","Woodland",38.8,-121.9,"Partners for Justice","https://www.partnersforjustice.org/","","We envision a world where the legal system reflects the humanity, complexity, and potential of those who experience it and its outcomes ensure the opportunity to move forward with one's future intact.",0.31,122417,39613493,36014,918135,7.5,50
"Colorado","Jefferson County","Denver",39.74,-105.07,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.34,19785,5893634,9045,185884,5.9,35
"Colorado","Boulder County","Longmont",40.17,-105.09,"EforAll","https://eforall.org/about/ ","","(DRK Economic Mobility grantee)
Economic Mobility EforAll believes that the best way to revitalize mid-sized U.S. cities that have fallen into decline, and thus suffered related high rates of poverty and unemployment, is to fuel the dreams and ambitions of entrepreneurs who live in and near these cities.",0.34,19785,5893634,9045,185884,5.9,35
"Delaware","New Castle County","Wilmington",39.73,-75.55,"Partners for Justice","https://www.partnersforjustice.org/","","We envision a world where the legal system reflects the humanity, complexity, and potential of those who experience it and its outcomes ensure the opportunity to move forward with one's future intact.",0.42,4141,990334,9294,NA,5.4,32
"Florida","Miami-Dade County","Miami",25.729,-80.237,"Partners for Justice","https://www.partnersforjustice.org/","","We envision a world where the legal system reflects the humanity, complexity, and potential of those who experience it and its outcomes ensure the opportunity to move forward with one's future intact.",0.44,96009,21944577,31805,650860,5,29
"Georgia","DeKalb County","Atlanta",33.77,-84.34,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.5,54113,10830007,16846,472237,3.5,9
"Georgia","DeKalb County","Atlanta",33.77,-84.34,"Georgia Micro Enterprise Network","","","Organizations like Georgia Micro Enterprise Network (Atlanta, Georgia) aid a wider population including low-income mothers, incarcerated individuals and returning citizens in select southern states. They refer clients to community development organizations and microlenders in their network rather than acting as direct lenders. ",0.5,54113,10830007,16846,472237,3.5,9
"Louisiana","East Baton Rouge Parish","Baton Rouge",30.449,-91.188,"Partners for Justice","https://www.partnersforjustice.org/","","We envision a world where the legal system reflects the humanity, complexity, and potential of those who experience it and its outcomes ensure the opportunity to move forward with one's future intact.",0.68,31584,4627002,16505,283558,6.2,39
"Louisiana","St. Tammany Parish","Covington",30.48,-90.1,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.68,31584,4627002,16505,283558,6.2,39
"Louisiana","Orleans Parish","New Orleans",29.96,-90.08,"Center for Employment Opportunities","https://www.google.com/url?q=https://ceoworks.org/&sa=D&source=docs&ust=1634414399170000&usg=AOvVaw3Wava9hxfHDlcBAY_HKgaZ","Employment, Job-Readiness, Coaching, Job-Retention","(Blue M grantee)
Our vision is that anyone with a criminal record who wants to work has the preparation and support needed to find a job and stay connected to the labor force. We believe that everyone, regardless of their past, deserves the chance to work toward a stronger future for themselves, their families, and their communities.

“With a boost from CEO, participants are less likely to become reincarcerated and more likely to build a foundation for a stable, productive life for themselves and their families. “
https://www.fastcompany.com/90680420/this-program-is-testing-what-happens-when-you-give-cash-to-people-leaving-prison",0.68,31584,4627002,16505,283558,6.2,39
"Louisiana","Orleans Parish","New Orleans",29.96,-90.08,"E Pluribus Unum","https://hopecu.org/about/mission/","","23 locations in the Deep South",0.68,31584,4627002,16505,283558,6.2,39
